Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
двухкомнатная квартира	59:01:4410038:103	г Пермь, ул 25 Октября, д. 5, 24	45.5 кв.м.	2 433 030 руб.
двухкомнатная квартира	59:01:4410038:111	г Пермь, ул 25 Октября, д. 5, 31	44.3 кв.м.	2 388 672 руб.
двухкомнатная квартира	59:01:4410038:100	г Пермь, ул 25 Октября, д. 5, 21	45.4 кв.м.	2 429 357 руб.
однокомнатная квартира	59:01:4410038:93	г Пермь, ул 25 Октября, д. 5, 15	32.9 кв.м.	1 933 504 руб.
двухкомнатная квартира	59:01:4410038:119	г Пермь, ул 25 Октября, д. 5, 39	42 кв.м.	2 303 070 руб.
двухкомнатная  квартира	59:01:4410038:98	г Пермь, ул 25 Октября, д. 5, 2	40.8 кв.м.	2 255 721 руб.
двухкомнатная квартира	59:01:4410038:107	г Пермь, ул 25 Октября, д. 5, 28	45.8 кв.м.	2 444 026 руб.
двухкомнатная квартира	59:01:4410038:127	г Пермь, ул 25 Октября, д. 5, 8	41.8 кв.м.	2 293 546 руб.
двухкомнатная квартира	59:01:4410038:121	г Пермь, ул 25 Октября, д. 5, 40	46.3 кв.м.	2 462 272 руб.
однокомнатная квартира	59:01:4410038:118	г Пермь, ул 25 Октября, д. 5, 38	33.4 кв.м.	1 954 910 руб.
однокомнатная квартира	59:01:4410038:110	г Пермь, ул 25 Октября, д. 5, 30	32.6 кв.м.	1 920 588 руб.
двухкомнатная квартира	59:01:4410038:99	г Пермь, ул 25 Октября, д. 5, 20	42 кв.м.	2 301 923 руб.
двухкомнатная квартира	59:01:4410038:96	г Пермь, ул 25 Октября, д. 5, 18	43.4 кв.м.	2 355 003 руб.
участок	59:01:4410038:23	г Пермь, ул 25 Октября, д. 5	1167.91 кв.м.	10 867 496 руб.
двухкомнатная квартира	59:01:4410038:122	г Пермь, ул 25 Октября, д. 5, 41	40.8 кв.м.	2 255 721 руб.
двухкомнатная квартира	59:01:4410038:116	г Пермь, ул 25 Октября, д. 5, 36	44.9 кв.м.	2 463 642 руб.
однокомнатная квартира	59:01:4410038:105	г Пермь, ул 25 Октября, д. 5, 26	32.2 кв.м.	1 903 283 руб.
двухкомнатная квартира	59:01:4410038:113	г Пермь, ул 25 Октября, д. 5, 33	41 кв.м.	2 249 472 руб.
двухкомнатная квартира	59:01:4410038:90	г Пермь, ул 25 Октября, д. 5, 12	43.8 кв.м.	2 370 010 руб.
однокомнатная квартира	59:01:4410038:89	г Пермь, ул 25 Октября, д. 5, 11	31.8 кв.м.	1 745 407 руб.
нежилое помещение	59:01:4410038:459	г Пермь, ул 25 Октября, д. 5	41 кв.м.	1 440 266 руб.
квартира 	59:01:4410038:347	г Пермь, ул 25 Октября, д. 5, 15	31.7 кв.м.	858 570 руб.
однокомнатная квартира	59:01:4410038:354	г Пермь, ул 25 Октября, д. 5, 42	32.3 кв.м.	1 907 619 руб.
магазин	59:01:4410038:86	г Пермь, ул 25 Октября, д. 5	156.2 кв.м.	5 487 061 руб.
однокомнатная квартира	59:01:4410038:126	г Пермь, ул 25 Октября, д. 5, 7	32.7 кв.м.	1 924 900 руб.
двухкомнатная квартира	59:01:4410038:102	г Пермь, ул 25 Октября, д. 5, 23	45 кв.м.	2 414 621 руб.
двухкомнатная квартира	59:01:4410038:106	г Пермь, ул 25 Октября, д. 5, 27	43.3 кв.м.	2 375 680 руб.
двухкомнатная квартира	59:01:4410038:91	г Пермь, ул 25 Октября, д. 5, 13	45.9 кв.м.	2 447 684 руб.
однокомнатная квартира	59:01:4410038:114	г Пермь, ул 25 Октября, д. 5, 34	32.7 кв.м.	1 794 234 руб.
однокомнатная квартира	59:01:4410038:123	г Пермь, ул 25 Октября, д. 5, 42	32.3 кв.м.	1 778 147 руб.
двухкомнатная квартира	59:01:4410038:95	г Пермь, ул 25 Октября, д. 5, 17	45.4 кв.м.	2 429 357 руб.
двухкомнатная квартира	59:01:4410038:94	г Пермь, ул 25 Октября, д. 5, 16	42.1 кв.м.	2 305 744 руб.
двухкомнатная квартира	59:01:4410038:108	г Пермь, ул 25 Октября, д. 5, 29	42 кв.м.	2 301 923 руб.
двухкомнатная квартира	59:01:4410038:125	г Пермь, ул 25 Октября, д. 5, 6	44.1 кв.м.	2 381 221 руб.
однокомнатная квартира	59:01:4410038:87	г Пермь, ул 25 Октября, д. 5, 1	31.4 кв.м.	1 722 903 руб.
двухкомнатная квартира	59:01:4410038:128	г Пермь, ул 25 Октября, д. 5, 9	44.7 кв.м.	2 452 668 руб.
встроенные помещения	59:01:4410038:442	г Пермь, ул 25 Октября, д. 5	156.2 кв.м.	5 487 061 руб.
двухкомнатная квартира	59:01:4410038:92	г Пермь, ул 25 Октября, д. 5, 14	43.3 кв.м.	2 351 240 руб.
двухкомнатная квартира	59:01:4410038:104	г Пермь, ул 25 Октября, д. 5, 25	41.5 кв.м.	2 282 753 руб.
двухкомнатная квартира	59:01:4410038:88	г Пермь, ул 25 Октября, д. 5, 10	43.4 кв.м.	2 355 003 руб.
двухкомнатная квартира	59:01:4410038:124	г Пермь, ул 25 Октября, д. 5, 5	44.5 кв.м.	2 396 107 руб.
двухкомнатная квартира	59:01:4410038:120	г Пермь, ул 25 Октября, д. 5, 4	41.7 кв.м.	2 290 435 руб.
квартира	59:01:4410090:369	г Пермь, ул Екатерининская, д. 96, 70	32.9 кв.м.	1 933 072 руб.
	59:01:4410090:915	город Пермь, ул Екатерининская, д. 96	79.6 кв.м.	3 494 060 руб.
нежилое помещение	59:01:4410090:424	г Пермь, ул Екатерининская, д. 96	52 кв.м.	2 282 551 руб.
	59:01:4410090:910	город Пермь, ул Екатерининская, д. 96	87 кв.м.	3 818 884 руб.
квартира	59:01:4410090:352	г Пермь, ул Екатерининская, д. 96, 65	55.5 кв.м.	2 780 652 руб.
квартира	59:01:4410090:364	г Пермь, ул Екатерининская, д. 96, 49	42.6 кв.м.	2 324 259 руб.
квартира	59:01:4410090:371	г Пермь, ул Екатерининская, д. 96, 72	32.4 кв.м.	1 911 521 руб.
квартира	59:01:4410090:880	г Пермь, ул Екатерининская, д. 96, 65	55.5 кв.м.	2 940 621 руб.
нежилое помещение	59:01:4410090:887	г Пермь, ул Екатерининская, д. 96	176 кв.м.	7 725 559 руб.
квартира	59:01:4410090:368	г Пермь, ул Екатерининская, д. 96, 69	55.2 кв.м.	2 770 714 руб.
встроенные помещения	59:01:4410090:889	г Пермь, ул Екатерининская, д. 96	71.9 кв.м.	3 156 066 руб.
квартира	59:01:4410090:362	г Пермь, ул Екатерининская, д. 96, 31	30.9 кв.м.	1 845 948 руб.
квартира	59:01:4410090:347	г Пермь, ул Екатерининская, д. 96, 28	43.1 кв.м.	2 343 178 руб.
квартира	59:01:4410090:378	г Пермь, ул Екатерининская, д. 96, 35	30.8 кв.м.	1 841 526 руб.
квартира 	59:01:4410090:463	г Пермь, ул Екатерининская, д. 96, 49	42.1 кв.м.	149 625 руб.
квартира	59:01:4410090:358	г Пермь, ул Екатерининская, д. 96, 11	33.6 кв.м.	1 962 993 руб.
	59:01:4410090:914	город Пермь, ул Екатерининская, д. 96	87 кв.м.	3 818 884 руб.
квартира	59:01:4410090:399	г Пермь, ул Екатерининская, д. 96, 77	55.2 кв.м.	2 770 714 руб.
квартира	59:01:4410090:397	г Пермь, ул Екатерининская, д. 96, 59	32.8 кв.м.	1 928 774 руб.
квартира	59:01:4410090:388	г Пермь, ул Екатерининская, д. 96, 17	57.7 кв.м.	2 852 663 руб.
квартира	59:01:4410090:389	г Пермь, ул Екатерининская, д. 96, 18	42 кв.м.	2 253 554 руб.
нежилое помещение	59:01:4410090:888	г Пермь, ул Екатерининская, д. 96	166.9 кв.м.	7 326 112 руб.
	59:01:4410090:909	город Пермь, ул Екатерининская, д. 96	36 кв.м.	1 580 228 руб.
квартира	59:01:4410090:376	г Пермь, ул Екатерининская, д. 96, 33	55.3 кв.м.	2 963 946 руб.
встроенные помещения	59:01:4410090:885	г Пермь, ул Екатерининская, д. 96	367.9 кв.м.	16 149 051 руб.
квартира	59:01:4410090:372	г Пермь, ул Екатерининская, д. 96, 13	58 кв.м.	2 862 367 руб.
комната в -комнатной квартире	59:01:4410090:899	г Пермь, ул Екатерининская, д. 96, 16	18.6 кв.м.	985 506 руб.
встроенные помещения	59:01:4410090:484	г Пермь, ул Екатерининская, д. 96	102.2 кв.м.	4 486 091 руб.
квартира	59:01:4410090:356	г Пермь, ул Екатерининская, д. 96, 9	57.5 кв.м.	2 846 178 руб.
квартира	59:01:4410090:365	г Пермь, ул Екатерининская, д. 96, 50	29.4 кв.м.	1 778 939 руб.
квартира	59:01:4410090:343	г Пермь, ул Екатерининская, д. 96, 8	53.5 кв.м.	2 713 846 руб.
квартира	59:01:4410090:401	г Пермь, ул Екатерининская, д. 96, 79	39.7 кв.м.	2 212 281 руб.
квартира	59:01:4410090:394	г Пермь, ул Екатерининская, д. 96, 39	31.4 кв.м.	1 867 962 руб.
нежилое помещение	59:01:4410090:425	г Пермь, ул Екатерининская, д. 96	60.6 кв.м.	2 660 050 руб.
квартира	59:01:4410090:390	г Пермь, ул Екатерининская, д. 96, 19	33.3 кв.м.	1 950 205 руб.
	59:01:4410090:908	город Пермь, ул Екатерининская, д. 96	26.1 кв.м.	1 145 665 руб.
квартира	59:01:4410090:341	г Пермь, ул Екатерининская, д. 96, 6	42.3 кв.м.	2 312 854 руб.
	59:01:4410090:912	город Пермь, ул Екатерининская, д. 96	2.8 кв.м.	122 907 руб.
квартира	59:01:4410090:398	г Пермь, ул Екатерининская, д. 96, 60	53.7 кв.м.	2 887 476 руб.
квартира	59:01:4410090:386	г Пермь, ул Екатерининская, д. 96, 75	40.5 кв.м.	2 243 564 руб.
нежилое помещение	59:01:4410090:422	г Пермь, ул Екатерининская, д. 96	234.6 кв.м.	10 297 819 руб.
	59:01:4410090:826	город Пермь, ул Екатерининская, д. 96	430.1 кв.м.	18 879 334 руб.
	59:01:4410090:918	г Пермь, ул Екатерининская, д. 96	12.2 кв.м.	535 522 руб.
торговое	59:01:4410090:336	г Пермь, ул Екатерининская, д. 96, 56-60	71.9 кв.м.	4 018 362 руб.
квартира	59:01:4410090:391	г Пермь, ул Екатерининская, д. 96, 20	55 кв.м.	2 764 073 руб.
квартира	59:01:4410090:340	г Пермь, ул Екатерининская, д. 96, 5	57.1 кв.м.	2 833 173 руб.
квартира	59:01:4410090:359	г Пермь, ул Екатерининская, д. 96, 12	54 кв.м.	2 902 861 руб.
квартира	59:01:4410090:392	г Пермь, ул Екатерининская, д. 96, 37	55.1 кв.м.	2 767 395 руб.
квартира	59:01:4410090:387	г Пермь, ул Екатерининская, д. 96, 76	32.2 кв.м.	1 902 858 руб.
квартира 	59:01:4410090:462	г Пермь, ул Екатерининская, д. 96, 31	28.9 кв.м.	102 711 руб.
	59:01:4410090:913	город Пермь, ул Екатерининская, д. 96	9.3 кв.м.	408 226 руб.
квартира	59:01:4410090:403	г Пермь, ул Екатерининская, д. 96, 40	43.9 кв.м.	2 373 221 руб.
квартира	59:01:4410090:348	г Пермь, ул Екатерининская, д. 96, 45	42.6 кв.м.	2 324 259 руб.
квартира	59:01:4410090:400	г Пермь, ул Екатерининская, д. 96, 78	33.1 кв.м.	1 941 650 руб.
квартира	59:01:4410090:379	г Пермь, ул Екатерининская, д. 96, 36	44 кв.м.	2 376 957 руб.
квартира	59:01:4410090:385	г Пермь, ул Екатерининская, д. 96, 74	33.3 кв.м.	1 950 205 руб.
квартира	59:01:4410090:360	г Пермь, ул Екатерининская, д. 96, 29	55.6 кв.м.	2 993 121 руб.
квартира	59:01:4410090:346	г Пермь, ул Екатерининская, д. 96, 27	29.6 кв.м.	1 595 735 руб.
квартира	59:01:4410090:393	г Пермь, ул Екатерининская, д. 96, 38	33.3 кв.м.	1 792 318 руб.
квартира	59:01:4410090:380	г Пермь, ул Екатерининская, д. 96, 53	42.9 кв.м.	2 335 624 руб.
квартира	59:01:4410090:377	г Пермь, ул Екатерининская, д. 96, 34	33.7 кв.м.	1 967 244 руб.
квартира	59:01:4410090:402	г Пермь, ул Екатерининская, д. 96, 80	32.3 кв.м.	1 907 193 руб.
квартира	59:01:4410090:395	г Пермь, ул Екатерининская, д. 96, 57	41.9 кв.м.	2 297 585 руб.
